,English,SimplifiedChinese,TraditionalChinese,Russian
"Hide completed puzzles (Elemental monuments, Bloatty Floatty, Electro Seelie)","Hide completed puzzles (Elemental monuments, Bloatty Floatty, Electro Seelie)",隐藏已完成的解谜(元素方碑、蓬蓬果、雷灵)。,隱藏已完成的解謎(元素方碑、蓬蓬果、雷靈)。,"Не показывать выполненные Головоломки (Монументы, Поррхающие Помидорки, Электро феи)"
"Hide in-game UI.
When you switch to another scene (e.g. into Domains), turn off and re-enable this feature","Hide in-game UI.
When you switch to another scene (e.g. into Domains), turn off and re-enable this feature","隐藏游戏界面。
当你切换场景的时候(如进入秘境)，需关闭该功能然后重新开启。","隱藏遊戲界面。
當你切換場景的時候(如進入秘境)，需關閉該功能然後重新開啟。","Hide in-game UI.
When you switch to another scene (e.g. into Domains), turn off and re-enable this feature"
Hilichurl,Hilichurl,丘丘人,丘丘人,Хиличурл
Hilichurl Chieftain,Hilichurl Chieftain,丘丘领袖大殿,丘丘領袖大殿,Hilichurl Chieftain
Hilichurl Shooter,Hilichurl Shooter,丘丘射手,丘丘射手,Hilichurl Shooter
Horsetail,Horsetail,马尾,馬尾,Конский Хвост
Hotkey,Hotkey,热键,熱鍵,Hotkey
Hotkeys,Hotkeys,热键,熱鍵,Hotkeys
Hotkeys Enabled,Hotkeys Enabled,启动热键,啟動熱鍵,Hotkeys Enabled
How many times to kill.,How many times to kill.,需要多少次来击杀,需要多少次來擊殺,Сколько раз убить.
"How to use item filters:
	LMB - Toggle visibility
	RMB - Open color picker","How to use item filters:
	LMB - Toggle visibility
	RMB - Open color picker","提示: 
	左键勾选
	右键换色","如何使用過濾器: 
	鼠標左鍵 - 切換可見
	鼠標右鍵 - 選擇顏色","How to use item filters:
	LMB - Toggle visibility
	RMB - Open color picker"
Hu Tao,Hu Tao,胡桃,胡桃,Hu Tao
Hunter's Bow,Hunter's Bow,猎弓,獵弓,Hunter's Bow
Hunter's Path,Hunter's Path,猎人之径,獵人之徑,Hunter's Path
Hydro,Hydro,水,水,Hydro
Hydro Abyss Herald,Hydro Abyss Herald,深渊使徒·激流,深淵使徒·激流,Гидро вестник бездны
Hydro Bathysmal Vishap,Hydro Bathysmal Vishap,深海龙蜥·原种,深海龍蜥・原種,Гидро Вишап глубин
Hydro Hypostasis,Hydro Hypostasis,无相之水,無相之水,Гидро Гипостазис
I haven't tested how high the risk is,I haven't tested how high the risk is,风险尚未测试,風險尚未測試,I haven't tested how high the risk is
Icon size,Icon size,图标大小,圖標大小,Icon size
Icon view,Icon view,图标视图,圖標視圖,Icon view
"Icons will be sized dynamically depend to zoom size.
Minimap icons don't affected.","Icons will be sized dynamically depend to zoom size.
Minimap icons don't affected.","图标将根据缩放大小动态调整大小。
小地图图标不受影响。","圖標將根據縮放大小動態調整大小。
小地圖圖標不受影響。","Icons will be sized dynamically depend to zoom size.
Minimap icons don't affected."
"If 'Instant Vacuum' is not checked, mob will be vacuumed at the specified speed.","If 'Instant Vacuum' is not checked, mob will be vacuumed at the specified speed.",如果没有勾选 [瞬间吸附]，生物将以指定的速度被吸附。,如果沒有勾選 [瞬間吸附]，生物將以指定的速度被吸附。,"Если 'Моментальный Вакуум' не включен, мобы будут втянуты с определённой скоростью."
If Instant Bow Charge doesn't work:,If Instant Bow Charge doesn't work:,如果弓箭瞬间蓄力无效:,如果弓箭瞬間蓄力無效:,Если моментальная натяжка лука не работает:
"If enabled, any input will be blocked.","If enabled, any input will be blocked.",启用后，所有输入将无效。,啟用後，所有輸入將無效。,"Если включено, ввод будет заблокирован."
"If enabled, kill aura will only affect monsters targeting/aggro towards you.","If enabled, kill aura will only affect monsters targeting/aggro towards you.",启用后，杀戮光环只会影响对你有仇恨的怪物。,啟用後，殺戮光環只會影響對你有仇恨的怪物。,"Если включено, то Kill-auta будет работать на агрессивных мобов перед вами."
"If enabled, monsters won't be able to push you despite the distance or size","If enabled, monsters won't be able to push you despite the distance or size",启用后，无论距离和大小，怪物都无法推动你。,啟用後，無論距離和大小，怪物都無法推動你。,"If enabled, monsters won't be able to push you despite the distance or size"
"If enabled, rod will recasted. Without visualization.","If enabled, rod will recasted. Without visualization.",启用后，将会重新抛竿，但看不见。,啟用後，將會重新拋竿，但看不見。,"Если включено, удочка будет перезакидываться. Без визуализации."
"If enabled, vacuum will only affect monsters targeting you. Will not affect animals.","If enabled, vacuum will only affect monsters targeting you. Will not affect animals.",启用后，吸附只会影响以你为目标的怪物，不会影响动物。,啟用後，吸附只會影響以你為目標的怪物，不會影響動物。,"If enabled, vacuum will only affect monsters targeting you. Will not affect animals."
"If teleport cannot get ground height of target location,
it will teleport you to the height specified here.
It is recommended to have this value to be at least as high as a mountain.
Otherwise, you may fall through the ground.","If teleport cannot get ground height of target location,
it will teleport you to the height specified here.
It is recommended to have this value to be at least as high as a mountain.
Otherwise, you may fall through the ground.","如果传送无法获取目标位置的地面高度，
会将您传送到此处指定的高度。
建议此值至少与山一样高，
否则，可能掉落到地下。","如果傳送無法獲取目標位置的地面高度，
會將您傳送到此處指定的高度。
建議此值至少與山一樣高，
否則，可能掉落到地下。","If teleport cannot get ground height of target location,
it will teleport you to the height specified here.
It is recommended to have this value to be at least as high as a mountain.
Otherwise, you may fall through the ground."
Illusion,Illusion,壁画,壁畫,Illusion
"Illusion
","Illusion
","壁画
","壁畫
","Illusion
"
Illusion Mural,Illusion Mural,神秘的壁画,神秘的壁畫,Illusion Mural
In rock,In rock,岩封,岩封,В камне
In-completed point transparency,In-completed point transparency,未完成点透明度,未完成點透明度,In-completed point transparency
In-completed points transparency.,In-completed points transparency.,未完成点透明度,未完成點透明度,In-completed points transparency.
In/Completed icon view,In/Completed icon view,未/已完成图标视图,未/已完成圖標視圖,In/Completed icon view
Inazuma Shrine of Depths,Inazuma Shrine of Depths,稻妻地灵龛,稻妻地靈龕,Inazuma Shrine of Depths
Include Animals,Include Animals,包括动物,包括動物,Включая Животных
Include Monsters,Include Monsters,包括怪物,包括怪物,Включая Монстров
Include animals,Include animals,包括动物,包括動物,Включая животных
Include animals in vacuum.,Include animals in vacuum.,生物吸附将包括动物,生物吸附將包括動物,Включить животных в вакуум.
Include monsters,Include monsters,包括怪物,包括怪物,Включая монстров
Include monsters in vacuum.,Include monsters in vacuum.,生物吸附将包括怪物,生物吸附將包括怪物,Включить монстров в вакуум.
Increase FOV,Increase FOV,增加FOV,增加FOV,Увеличить Угол обзора
Inf. Stamina,Inf. Stamina,无限体力,無限體力,Беск. Энергия
Infinite Stamina,Infinite Stamina,无限体力,無限體力,Бесконечная Энергия
Info Window,Info Window,信息窗口,信息視窗,Info Window
Info window,Info window,信息窗口,信息視窗,Info window
Inject an additional dll alongside the akebi dll.,Inject an additional dll alongside the akebi dll.,注入一个额外的Dll到Akebi Dll中,注入一個額外的Dll到Akebi Dll中,Inject an additional dll alongside the akebi dll.
Instant,Instant,瞬间,瞬間,Моментальный
Instant Bow,Instant Bow,瞬时弓,瞬時弓,Instant Bow
Instant Bow Charge,Instant Bow Charge,弓箭瞬间蓄力,弓箭瞬間蓄力,Момаентальное натяжение лука
Instant Death Mode,Instant Death Mode,即死模式,即死模式,Режим моментального убийства
Instant Vacuum,Instant Vacuum,瞬间吸附,瞬間吸附,Моментальный вакуум
Instant death mode,Instant death mode,即死模式,即死模式,Режим моментального убийства
Instantly destroys non-living objects within range.,Instantly destroys non-living objects within range.,自动摧毁范围内的 非生物 物体,自動摧毀範圍內的 非生物 物體,Моментально разрушает не живые объекты на определённом расстоянии.
Interaction Rewards,Interaction Rewards,交互奖励,交互奖励,Interaction Rewards
Interactive map,Interactive map,交互式地图,互動式地圖,Интерактивная карта
Interface Customization,Interface Customization,定制界面,定制界面,Interface Customization
Interpolate,Interpolate,插值,插值,Interpolate
Interpolation Speed,Interpolation Speed,插值速度,插值速度,Скорость Интерполяции
"Interpolation speed.
 recommended setting below or equal to 0.1.","Interpolation speed.
 recommended setting below or equal to 0.1.","插值速度。
 建议设置低于或等于0.1。","插值速度。
 建議設置低於或等於0.1。","Скорость Интерполяции.
 рекомендованные значение <= 0.1."
Inu,Inu,狗,狗,Ину
Inventory / Materials,Inventory / Materials,库存 / 材料,库存 / 材料,Inventory / Materials
Investigates,Investigates,调查,調查,Исследовать
Investigation,Investigation,考察日志,考察日誌,Investigation
Iron Chunk,Iron Chunk,铁矿,鐵礦,Железный обломок
Iron Chunk Drop,Iron Chunk Drop,铁矿掉落,鐵礦掉落,Iron Chunk Drop
Iron Point,Iron Point,铁尖枪,鐵尖槍,Iron Point
Iron Sting,Iron Sting,铁蜂刺,鐵蜂刺,Iron Sting
Item Drops,Item Drops,掉落道具,掉落道具,Дроп вещей
Item adjusting,Item adjusting,物品调整,物品調整,Item adjusting
Items,Items,道具,道具,Предметы
JSON input,JSON input,JSON输入框,JSON輸入框,Ввод JSON
Jade Chamber,Jade Chamber,群玉阁,群玉閣,Jade Chamber
Jadeplume Terrorshroom,Jadeplume Terrorshroom,翠翎恐蕈,翠翎恐蕈,Пернатый плесенник
Jean,Jean,琴,琴,Jean
Jueyun Chili,Jueyun Chili,绝云椒椒,絕雲椒椒,Заоблачный перчик
Kaedehara Kazuha,Kaedehara Kazuha,枫原万叶,楓原萬葉,Kaedehara Kazuha
Kaeya,Kaeya,凯亚,凱亞,Kaeya
Kagotsurube Isshin,Kagotsurube Isshin,笼钓瓶一心,籠釣瓶一心,Kagotsurube Isshin
Kagura's Verity,Kagura's Verity,神乐之真意,神樂之真意,Kagura's Verity
Kairagi,Kairagi,海乱鬼,海亂鬼,Кайраги
Kalpalata Lotus,Kalpalata Lotus,劫波莲,劫波蓮,Лотус Кальпалата
Kamisato Ayaka,Kamisato Ayaka,神里绫华,神里綾華,Kamisato Ayaka
Kamisato Ayato,Kamisato Ayato,神里绫人,神里綾人,Kamisato Ayato
Karmaphala Wood,Karmaphala Wood,业果木,業果木,Karmaphala Wood
Katsuragikiri Nagamasa,Katsuragikiri Nagamasa,桂木斩长正,桂木斬長正,Katsuragikiri Nagamasa
Keep game time the same,Keep game time the same,保持游戏时间在一个固定时间，联机时仅自己可见,保持遊戲時間在一個固定時間,Держать время игры неизменным
Keqing,Keqing,刻晴,刻晴,Keqing
Key,Key,钥匙,鑰匙,Key
Key Sigil,Key Sigil,键纹,鍵紋,Знак-ключ
Key Sigil II,Key Sigil II,键纹 II,鍵紋 II,Key Sigil II
Key Sigil III,Key Sigil III,键纹 III,鍵紋 III,Key Sigil III
Key Sigil IV,Key Sigil IV,键纹 IV,鍵紋 IV,Key Sigil IV
Key of Khaj-Nisut,Key of Khaj-Nisut,圣显之钥,聖顯之鑰,Key of Khaj-Nisut
Key to exit the game.,Key to exit the game.,退出游戏的按键,退出遊戲的按鍵,Кнопка для моментального выхода из игры.
Key to hold down before clicking on target location.,Key to hold down before clicking on target location.,传送前需要按住的键位,傳送前需要按住的鍵位,Key to hold down before clicking on target location.
"Key to toggle main menu visibility. Cannot be empty.
If you forget this key, you can see or set it in your config file.","Key to toggle main menu visibility. Cannot be empty.
If you forget this key, you can see or set it in your config file.","开关Akebi菜单的按键，不能为空。
如果你忘记了该热键，你可以在你的配置文件中看到或设置它。","開關Akebi菜單的按鍵，不能為空。
如果你忘記了該熱鍵，你可以在你的配置文件中看到或設置它。","Key to toggle main menu visibility. Cannot be empty.
If you forget this key, you can see or set it in your config file."
Kid Kujirai,Kid Kujirai,鲸井小弟,鯨井小弟,Kid Kujirai
Kill Aura,Kill Aura,杀戮光环,殺戮光環,Kill Aura
Kill Range,Kill Range,杀戮范围,殺戮範圍,Kill Range
Kill aura causes crash damage for monster around you.,Kill aura causes crash damage for monster around you.,杀戮光环会对你周围的怪物造成坠落伤害,殺戮光環會對你周圍的怪物造成墜落傷害,Kill-aura наносит урон вокруг вас по монстрам.
Kill aura will attempt to instagib any valid target.,Kill aura will attempt to instagib any valid target.,杀戮光环将尝试作用任何有效目标,殺戮光環將嘗試作用任何有效目標,Kill-aura будем пытаться моментально убить цель.
Kill times,Kill times,击杀次数,擊殺次數,Убито раз
King's Squire,King's Squire,王下近侍,王下近侍,King's Squire
Kitain Cross Spear,Kitain Cross Spear,喜多院十文字,喜多院十文字,Kitain Cross Spear
Kitsune,Kitsune,狐狸,狐貍,Кицунэ
Klee,Klee,可莉,可莉,Klee
Kujou Sara,Kujou Sara,九条裟罗,九條裟羅,Kujou Sara
Kuki Shinobu,Kuki Shinobu,久岐忍,久岐忍,Kuki Shinobu
Landmarks,Landmarks,地标,地標,Landmarks
Language,Language,语言,語言,Язык
Lanuch the game with command line arguments,Lanuch the game with command line arguments,使用命令行参数运行游戏,使用命令行參數運行遊戲,Запускать игру с помощью аргументов командной строки
Large Rock Pile,Large Rock Pile,大岩石,大碎石堆,Большая каменная насыпь
Lavender Melon,Lavender Melon,堇瓜,堇瓜,Фиалковая Дыня
Lazurite Axe Marlin,Lazurite Axe Marlin,青金斧枪鱼,青金斧槍魚,Lazurite Axe Marlin
Left,Left,左,左,Left
Left HotKey,Left HotKey,向左热键,向左熱鍵,Left HotKey
Level,Level,玩家等级,玩家等級,Уровень
Leyline,Leyline,地脉花,地脈,Артерии
Light Up Tile Puzzle,Light Up Tile Puzzle,发光的地板解谜,發光的地板解謎,Light Up Tile Puzzle
Light-Up Tile Puzzle,Light-Up Tile Puzzle,发光的地板解谜,發光的地板解謎,Light-Up Tile Puzzle
"Light-Up Tile Puzzle
","Light-Up Tile Puzzle
","发光拼图
","發光拼圖
","Light-Up Tile Puzzle
"
Lighting,Lighting,亮度(暂),亮度(暫),Освещение
Lightning,Lightning,闪电,閃電,Молния
Lightning Strike Probe,Lightning Strike Probe,雷霆探针,雷霆探針,Звук Удара Молнии
"Lightning target enemy, works with RainHeavy weather.","Lightning target enemy, works with RainHeavy weather.",闪电目标设置为敌人，适用于雷暴天气。,閃電目標設置為敵人，適用於雷暴天氣。,Ударяет молнией текущего моба. Работает только при 'RainHeavy' погоде
"Limit framerate while the game window isn't focused.
This won't work if the cheat menu is open or if you're in a loading screen.","Limit framerate while the game window isn't focused.
This won't work if the cheat menu is open or if you're in a loading screen.","在游戏处于后台时限制帧率。
如果作弊菜单打开或处于加载屏幕中则无效。","在遊戲視窗未被選中時限制FPS。
如果作弊菜單打開或處於加載屏幕中則無效。","Лимит FPS пока окно игры свёрнуто.
Примечание: оно не работает на экране загрузке или при включённом меню чита."
Line,Line,线,线,Line
Lion's Roar,Lion's Roar,匣里龙吟,匣里龍吟,Lion's Roar
Lisa,Lisa,丽莎,麗莎,Lisa
List of unity command line arguments,List of unity command line arguments,unity命令行参数列表,unity命令行參數列表,Список Unity аргументов командной строки
Lithic Blade,Lithic Blade,千岩古剑,千岩古劍,Lithic Blade
Lithic Spear,Lithic Spear,千岩长枪,千岩長槍,Lithic Spear
Living,Living,生物,生物,Living
Liyue,Liyue,璃月,璃月,Liyue
Lizard Tail,Lizard Tail,蜥蜴尾巴,蜥蜴尾巴,Хвост ящерицы
Loach Pearl,Loach Pearl,鳅鳅宝玉,鰍鰍寶玉,Loach Pearl
Load from JSON,Load from JSON,从JSON中加载,從JSON中加載,Загрузить из JSON
Local Specialties,Local Specialties,地方特产,地方特產,Local Specialties
Locked,Locked,锁定,鎖定,Закрыто
Logging,Logging,日志,日誌,Логирование
Logs current active character's animation state.,Logs current active character's animation state.,记录当前前台角色的动画状态,記錄當前前台角色的動畫狀態,Logs current active character's animation state.
Look Sensitivity,Look Sensitivity,视角灵敏度,視角靈敏度,Look Sensitivity
Look Smoothing,Look Smoothing,视角平滑度,視角平滑度,Look Smoothing
Loot Types,Loot Types,拾取类型,拾取类型,Loot Types
Looting Speed,Looting Speed,拾取速度,拾取速度,Скорость Подбора вещей
Looting delay fluctuation,Looting delay fluctuation,随机拾取延迟,隨機拾取延遲,Looting delay fluctuation
Lost Prayer to the Sacred Winds,Lost Prayer to the Sacred Winds,四风原典,四風原典,Lost Prayer to the Sacred Winds
Lotus Head,Lotus Head,莲蓬,蓮蓬,Голова Лотуса
Lower = Smoother,Lower = Smoother,越低越平滑,越低越平滑,Меньше = Плавнее
Lucklight Fly,Lucklight Fly,吉光虫,吉光蟲,Lucklight Fly
Lumen Cage,Lumen Cage,流明原石(?),流明原石(?),Lumen Cage
Lumenspar,Lumenspar,流明晶石,流明晶石,Светоносный кристалл
Luminescent Spine,Luminescent Spine,发光髓,發光髓,Светящееся Брюшко
Luminous Seelie,Luminous Seelie,流明仙灵,流明仙靈,Светящаяся фея
Lunged Stickleback,Lunged Stickleback,肺棘鱼,肺棘魚,Lunged Stickleback
"Lupus Boreas, Dominator of Wolves","Lupus Boreas, Dominator of Wolves",北风的王狼、奔狼的领主,北風的王狼、奔狼的領主,"Lupus Boreas, Dominator of Wolves"
Luxurious,Luxurious,华丽,華麗,Роскошный
Luxurious Chest,Luxurious Chest,华丽的宝箱,華麗的寶箱,Luxurious Chest
Luxurious Sea-Lord,Luxurious Sea-Lord,衔珠海皇,銜珠海皇,Luxurious Sea-Lord
Magic Guide,Magic Guide,魔导绪论,魔導緒論,Magic Guide
Magical Crystal Chunk,Magical Crystal Chunk,魔晶块,魔晶塊,Магическая кристалльная руда
Magical Crystal Chunk Drop,Magical Crystal Chunk Drop,魔晶块掉落,魔晶塊掉落,Magical Crystal Chunk Drop
Maguu Kenki,Maguu Kenki,魔偶剑鬼,魔偶劍鬼,Магу кэнки
Main contributors:,Main contributors:,"主要贡献者: ","主要貢獻者: ",Основные авторы:
Main developer and updater:,Main developer and updater:,"主要开发者和更新者: ","主要開發者和更新者: ",Главный разработчик и апдейтер:
Make Character invisible,Make Character invisible,隐藏角色,隱藏角色,Сделать персонажа невидимым
Makhaira Aquamarine,Makhaira Aquamarine,玛海拉的水色,瑪海拉的水色,Makhaira Aquamarine
Manipulation,Manipulation,操纵(暂),操縱(暫),Manipulation
Manual,Manual,手动,手动,Гайд
Manual completing,Manual completing,手动完成,手動完成,Manual completing
Map Teleport,Map Teleport,地图传送,地圖傳送,Map Teleport
Maple Wood,Maple Wood,枫木,楓木,Maple Wood
Mappa Mare,Mappa Mare,万国诸海图谱,萬國諸海圖譜,Mappa Mare
"Marked as Investigate/Search, etc.","Marked as Investigate/Search, etc.",标记为 调查/搜索 的点位等。,標記為 調查/搜索 的點位等。,"Отмеченное как Исследовать/Найти, др."
Marrow Lizard,Marrow Lizard,嗜髓蜥,嗜髓蜥,Marrow Lizard
Masked Weasel,Masked Weasel,面具鼬,面具鼬,Masked Weasel
"Material, Mineral, Artifact.","Material, Mineral, Artifact.",材料、矿物、圣遗物。,材料、礦物、聖遺物。,"Материалы, Минералы, Артефакты."
Materials,Materials,材料,材料,Materials
Matsutake,Matsutake,松茸,松茸,Мацутакэ
Max Burst Energy,Max Burst Energy,满元素爆发能量,滿元素爆發能量,Max Burst Energy
Max Multiplier,Max Multiplier,倍攻最大值,倍攻最大值,Max Multiplier
Max Zoom,Max Zoom,最大视距,最大變焦,Максимальное Приближение
MaxExp,MaxExp,最大经验值,最大經驗值,Максимальный опыт
Meat,Meat,兽肉,兽肉,Meat
Medaka,Medaka,花鳉,花鱂,Medaka
Memory of Dust,Memory of Dust,尘世之锁,塵世之鎖,Memory of Dust
Merchant,Merchant,商人,商人,Merchant
Messenger,Messenger,信使,信使,Messenger
Middle Screen Tracer,Middle Screen Tracer,设置追踪点为屏幕中心,設置追蹤點為螢幕中心,Линия от центра экрана
Millelith,Millelith,千岩军,千岩軍,Миллелит
Min Multiplier,Min Multiplier,倍攻最小值,倍攻最小值,Min Multiplier
Min Zoom,Min Zoom,最小视距,最小變焦,Минимальное приближение
Min. Entity Size,Min. Entity Size,最小实体大小,最小實體大小,Min. Entity Size
Mineral,Mineral,矿物,礦物,Минерал
Mini Puzzle,Mini Puzzle,迷你拼图,迷你拼圖,Mini Puzzle
Minimap icon size,Minimap icon size,迷你地图大小,迷你地圖大小,Minimap icon size
Minimum Health,Minimum Health,最小生命值,最小生命值,Минимальное здоровье
"Minimum entity size as measured in-world.
Some entities have either extremely small or no bounds at all.
This parameter helps filter out entities that don't meet this condition.","Minimum entity size as measured in-world.
Some entities have either extremely small or no bounds at all.
This parameter helps filter out entities that don't meet this condition.","测量的最小实体大小。
一些实体的边界非常小或根本没有边界，
此选项有助于过滤掉不满足此条件的实体。","測量的最小實體大小。
一些實體的邊界非常小或根本沒有邊界，
此選項有助於過濾掉不滿足此條件的實體。","Minimum entity size as measured in-world.
Some entities have either extremely small or no bounds at all.
This parameter helps filter out entities that don't meet this condition."
Minimum health (in %) required before god mode takes effect.,Minimum health (in %) required before god mode takes effect.,无敌模式生效所需的最低百分比生命值,無敵模式生效所需的最低百分比生命值,Минимум здоровья (в %) требуемое для бессмертия.
Mint,Mint,薄荷,薄荷,Мята
Missing Attack Rate,Missing Attack Rate,攻击闪避概率,攻擊閃避概率,Missing Attack Rate
Missive Windspear,Missive Windspear,风信之锋,風信之鋒,Missive Windspear
Mist Bubble,Mist Bubble,小船(暂),神秘的气泡,Mist Bubble
Mist Flower Corolla,Mist Flower Corolla,冰雾花,冰霧花,Венчик туманного цветка
Mistsplitter Reforged,Mistsplitter Reforged,雾切之回光,霧切之回光,Mistsplitter Reforged
Mitachurl,Mitachurl,丘丘暴徒,丘丘暴徒,Метачурл
Mitternachts Waltz,Mitternachts Waltz,幽夜华尔兹,幽夜華爾茲,Mitternachts Waltz
Mob Drop Radius (m),Mob Drop Radius (m),生物掉落物吸附半径(米),生物掉落物吸附半徑(米),Mob Drop Radius (m)
Mob Vacuum,Mob Vacuum,生物吸附,生物吸附,Mob Vacuum
Modifies pickup/open range to this value (in meters).,Modifies pickup/open range to this value (in meters).,修改 拾取范围/开箱范围。请修改该选项的数值(单位: 米)。,修改 拾取範圍/開箱範圍。請修改該選項的數值(單位: 米)。,Замена дальности открытия/поднятия до значения (в метрах).
Mona,Mona,莫娜,莫娜,Mona
Mondstadt,Mondstadt,蒙德,蒙德,Mondstadt
Monster,Monster,怪物,怪物,Monster
Monsters,Monsters,怪物,怪物,Monsters
Moonpiercer,Moonpiercer,贯月矢,貫月矢,Moonpiercer
Mora,Mora,摩拉,摩拉,Mora
"Mora/XP, overworld/Trounce bosses, etc.","Mora/XP, overworld/Trounce bosses, etc.",摩拉/经验、主世界/周本boss等,摩拉/經驗、主世界/周本boss等,"Mora/XP, overworld/Trounce bosses, etc."
Mountain Date Wood,Mountain Date Wood,刺葵木,刺葵木,Mountain Date Wood
Mouun's Moon,Mouun's Moon,曚云之月,曚雲之月,Mouun's Moon
Move FPS Indicator,Move FPS Indicator,移动FPS指示器,移動FPS指示器,Передвижение 'FPS Indicator'
Move Info Window,Move Info Window,移动信息窗口,移動信息視窗,Передвижение окна 'Info'
Move Status Window,Move Status Window,移动状态窗口,移動狀態視窗,Передвижение 'Status' окна
Move Sync Packet Replacement,Move Sync Packet Replacement,阻止上传模式(更安全),更換 移動同步封包,Move Sync Packet Replacement
Move relative to camera view instead of avatar view/direction.,Move relative to camera view instead of avatar view/direction.,相对相机视角进行移动而不是角色朝向移动,相對相機視角進行移動而不是角色朝向移動,Move relative to camera view instead of avatar view/direction.
Movement Smoothing,Movement Smoothing,移动平滑度,移動平滑度,Movement Smoothing
Movement Speed,Movement Speed,移动速度,移動速度,Скорость передвижения
Movement speed when using fall control,Movement speed when using fall control,当使用坠落控制时的移动速度,當使用墜落控制時的移動速度,Скорость при использовании Fall controll
Mud Frog,Mud Frog,泥蛙,泥蛙,Mud Frog
Multi-Animation,Multi-Animation,多重动画,多重動畫,Multi-Animation
Multi-Hit,Multi-Hit,倍攻,倍攻,Multi-Hit
Multi-Hit Mode,Multi-Hit Mode,倍攻模式,倍攻模式,Multi-Hit Mode
Multi-Hit Random,Multi-Hit Random,随机倍攻,隨機倍攻,Multi-Hit Random
Multi-Hit [OnePunch],Multi-Hit [OnePunch],倍攻 [一拳模式],倍攻 [一拳模式],Multi-Hit [OnePunch]
Multi-Target,Multi-Target,普攻范围,多目標攻擊,Multi-Target
Multiplier,Multiplier,倍率,倍率,Множитель
Mushroom,Mushroom,蘑菇,蘑菇,Гриб
Mysterious Carvings,Mysterious Carvings,神秘的刻像,神秘的刻像,Таинственные изваяния
NPC,NPC,NPC,NPC,NPC
NPCs,NPCs,宠物型,NPC型(暫),NPCs
Nahida,Nahida,纳西妲,納西妲,Nahida
Naku Weed,Naku Weed,鸣草,鳴草,Трава Наку
Name,Name,名称,名稱,Имя
New items detect supported,New items detect supported,支持新物品检测,支援新物品檢測,New items detect supported
NickName,NickName,昵称,暱稱,NickName
Nilotpala Lotus,Nilotpala Lotus,月莲,月蓮,Лотус Нилотпала
Nilou,Nilou,妮露,妮露,Nilou
Ningguang,Ningguang,凝光,凝光,Ningguang
No Animation,No Animation,允许在空中释放技能,無動畫,No Animation
No Clip,No Clip,自由移动,自由移動,No Clip
No Sprint Cooldown,No Sprint Cooldown,无冲刺冷却时间,無沖刺冷卻時間,No Sprint Cooldown
No accounts.,No accounts.,无账号,無帳號,No accounts.
No fog,No fog,去雾,去霧,No fog
No-Clip,No-Clip,自由移动,自由移動,No-Clip
"No-clip move speed.
Not recommended setting above 5.0.","No-clip move speed.
Not recommended setting above 5.0.","自由移动移动速度。
不建议超过5。","自由移動移動速度。
不建議超過5。","No-clip move speed.
Not recommended setting above 5.0."
Nobushi,Nobushi,武士,武士,Нобуси
Noctilucous Jade,Noctilucous Jade,夜泊石,夜泊石,Полуночный нефрит
Noctilucous Jade Drop,Noctilucous Jade Drop,夜泊石掉落,夜泊石掉落,Noctilucous Jade Drop
Noelle,Noelle,诺艾尔,諾艾爾,Noelle
None,None,无,無,None
Normal,Normal,普通,普通,Normal
Not found.,Not found.,未找到,未找到,Не найдено.
"Note. This feature is not fully tested detection-wise.
Not recommended for main accounts or used with high values.","Note. This feature is not fully tested detection-wise.
Not recommended for main accounts or used with high values.","注意:这功能未经过充足的测试。
不建议在主账号上以及使用低数值。","注意:這功能未經過充足的測試。
不建議在主帳號上以及使用低數值。","This feature is not fully tested detection-wise.
Not recommended for main accounts or used with high values."
Notifications Delay,Notifications Delay,通知延迟,通知延遲,Задержка уведомлений
Notifications on the bottom-right corner of the window will be displayed.,Notifications on the bottom-right corner of the window will be displayed.,显示窗口右下角的通知。,顯示視窗右下角的通知。,Уведомления будут расположены внизу правого угла
Npc,Npc,NPC,NPC,Npc
Nurseries In The Wilds,Nurseries In The Wilds,荒野中的苗圃,荒野中的苗圃,Питомник в дикой природе
Nurseries in the Wilds,Nurseries in the Wilds,荒野中的苗圃,荒野中的苗圃,Nurseries in the Wilds
OTI,OTI,立即打开队伍界面,立即打開隊伍界面,OTI
Oathsworn Eye,Oathsworn Eye,证誓之明瞳,證誓之明瞳,Oathsworn Eye
Ocean Crab,Ocean Crab,海蓝蟹,海藍蟹,Ocean Crab
Oceanid,Oceanid,纯水精灵,水幻形,Океанид
Oceanid Boar,Oceanid Boar,幻形豕兽·水,幻形豕獸·水,Oceanid Boar
Oceanid Crab,Oceanid Crab,幻形蟹·水,幻形蟹·水,Oceanid Crab
Oceanid Crane,Oceanid Crane,幻形鹤·水,幻形鶴·水,Oceanid Crane
Oceanid Falcon,Oceanid Falcon,幻形飞鹰·水,幻形飛鷹·水,Oceanid Falcon
Oceanid Finch,Oceanid Finch,幻形雀·水,幻形雀·水,Oceanid Finch
Oceanid Frog,Oceanid Frog,幻形蛙·水,幻形蛙·水,Oceanid Frog
Oceanid Squirrel,Oceanid Squirrel,幻形花鼠·水,幻形花鼠·水,Oceanid Squirrel
Oceanid Wigeon,Oceanid Wigeon,幻形游禽·水,幻形遊禽·水,Oceanid Wigeon
Oculi,Oculi,神瞳,神瞳,Oculi
Oculus,Oculus,神瞳,神瞳,Окусул
OffscreenArrows,OffscreenArrows,离屏箭头,箭头,OffscreenArrows
